Document ID,Terms
31,"['君の部屋で見つけた', '距離も時も越えていける', '色んな気持ち', 'なんだか可笑しい', 'あぁ', '喧嘩した日もあったよね', 'あいだったその意味は', '優しい気持ちになれるように', '小さく頷き', 'いくつも心を重ねていく', '全部思いをぶちまけたら', '50個しかない言葉から', '君に思い伝えたんだ', '君で本当に良かった', 'アルバムには三年前の', 'この写真の日', '二人は似てるよと言ってくれたこと', '最初に並ぶのが', 'atsumete', '今と変わらない瞳で君が', 'あの日僕らを繋いだプレゼントは', '愛を乗せて', '変わりたくてさ', '僕はまだ一人きりで', 'wo', '嫌いな過去も未来の不安さえも', '明日も輝いて見えるんだ', '懐かしいな', '焦ってばかり', '2人が写る', 'たくさんの愛を集めたら', '言葉で君に届けよう', '人と話すの苦手だった', 'ねぇ', '出会う前の日だね', '見えない気持ちを形にしたら', '心の中まで届くから', '君に出会えて良かった', '君が笑顔になれるように', 'ai', 'weaver', 'その声を覚えてる', '愛を運ぶ言葉なら', '言葉に乗せて届けよう', '色褪せない気持ちなんだ', '同じだねって言ったら', 'どんな未来も贈る言葉で', '君を目指す言葉だよ', '一緒にいれば', '暖かい色が生まれる', '集合写真', '君まで泣いてたね', '君に出会ってわかったよ', '伝えたいのはその中にある', 'いつだって君が手にした時に', 'めくっていけば']"
32,"['panty', 'aiight', 'happening', 'bj', 'babe', 'touching', 'ta', 'let', 'cant', 'iiight', 'feeling', 'well', 'bedroom', 'rough', 'took', 'happen', 'girl', 'aint', 'need', 'kissing', 'moment', 'cause', 'necessary', 'give', 'say', 'chicago', 'im', 'heart', 'lay', 'mama', 'please', 'babyayayayay', 'every', 'inside', 'keep', 'listening', 'kid', 'sound', 'loving', 'baby', 'tell', 'scratch', 'start', 'shit', 'much', 'tonight', 'lil', 'guaranteed', 'car', 'said', 'night', 'cool', 'got']"
33,"['lindísima', 'tú', 'yo', 'será', 'la', 'día', 'lindisima', 'amada', 'cómo', 'quiero', 'del', 'ámame', 'sola', 'niña', 'que', 'amapola', 'ingrate', 'puedes', 'plácido', 'vivir', 'luz', 'sea', 'mi', 'alma', 'te', 'igual', 'tan', 'iqual', 'ama', 'domingo', 'siempre', 'tuya', 'mía', 'mia', 'flor']"
34,"['il', 'ti', 'respinge', 'la', 'esprime', 'tamerò', 'umberto', 'tamo', 'lieve', 'man', 'amor', 'giordano', 'dice', 'non', 'se', 'mi', 'amar', 'tua', 'pupilla', 'stretta', 'labbro', 'che', 'vieta', 'di', 'della', 'mia', 'cerca']"
35,"['wont', 'wish', 'get', 'seen', 'let', 'like', 'lot', 'well', 'people', 'janis', 'typewriter', 'yeah', 'little', 'oh', 'know', 'taping', 'havent', 'ribbon', 'bother', 'burn', 'trial', 'sound', 'joplin', 'play', 'drum', 'count']"
36,"['wont', 'wish', 'get', 'discus', 'dont', 'made', 'like', 'given', 'shouldnt', 'read', 'share', 'thing', 'came', 'talk', 'rain', '2013', 'feel', 'desire', 'appearance', 'since', 'captain', 'silverman', 'business', 'followed', 'woman', 'yes', 'letter', 'kuhn', 'weather', 'great', 'sort', 'man', 'ill', 'new', 'know', 'free', 'come', 'behave', 'recovered', 'give', 'something', 'cast', 'every', 'running', 'innocuous', 'ask', 'effort', 'offend', 'conversation', 'think', 'didnt', 'difficult', 'york', 'judy', 'simply', 'distance', 'youve', 'troop', 'away', 'company', 'passion', 'ive', 'time', 'kiss', 'recording', 'alone', 'ryan']"
37,"['full', 'special', 'eat', 'gastwirt', 'girl', 'honey', 'briefcase', 'two', 'hobo', 'dig', 'im', 'gambler', 'light', 'south', 'sunday', 'motor', 'dakota', 'blue', 'b', 'daughter', 'one', 'wife', 'get', 'na', 'toothpick', 'picker', 'name', 'lay', 'think', 'water', 'desoto', 'could', 'movie', 'parked', 'car', 'got', 'jane', 'best', 'brother', 'look', 'brand', 'ride', 'stop', 'sure', 'back', 'nothing', 'drove', 'knew', 'rambler', 'night', 'way', 'plain', 'right', 'next', 'made', 'let', 'rather', 'truck', 'outside', 'woman', 'joe', 'aint', 'live', 'town', 'new', 'fruit', 'racing', 'something', 'layed', 'caught', 'gon', 'box', 'texas', 'id', 'ya', 'train', 'quarter', 'said']"
38,"['one', 'feelin', 'groovy', 'skrrt', 'get', 'ta', 'mess', 'like', 'huh', 'look', 'strip', 'told', 'phone', 'countin', 'ride', 'cheese', 'hittin', 'na', 'queso', 'pull', 'givin', 'sso', 'bop', 'vibe', 'stop', 'wait', 'bringin', 'ménage', 'come', 'slide', 'guy', 'give', 'say', 'guess', 'nigga', 'im', 'yellin', 'stick', 'makin', 'gang', 'kind', 'wan', 'think', 'cj', 'fuck', 'baby', 'top', 'bitch', 'though', 'movie', 'whoopty', 'hottest', 'besos', 'high', 'guap', 'jump', 'peso', 'spot', 'ayy', 'shot', 'said', 'got']"
39,"['puzzle', 'one', 'get', 'urbanos', 'make', 'everybody', 'ever', 'help', 'cant', 'getting', 'pretty', 'corridos', 'feeling', 'go', 'satisfied', 'night', 'missing', 'always', 'string', 'steal', 'step', 'babyrock', 'shooting', 'quite', 'somethings', 'choice', 'back', 'take', 'chemical', 'light', 'keep', 'nearly', 'without', 'refuse', 'incomplete', 'race', 'star', 'done', 'run', 'coming', 'really', 'never', 'nothing', 'clorofila', 'fun', 'enough', 'drunk', 'rock', 'doubt']"
40,"['way', 'get', 'screen', 'ever', 'cant', 'country', 'bout', 'silver', 'small', 'spread', 'comin', 'go', 'truck', 'tight', 'girl', 'road', 'called', 'queen', 'whole', 'damn', 'true', 'world', 'aint', 'always', 'yeah', 'wing', 'blame', 'crazy', 'town', 'new', 'ill', 'know', 'come', 'livin', 'dirt', 'dreamin', 'beauty', 'got', 'im', 'tailgate', 'gold', 'cold', 'ooh', 'thinkin', 'birge', 'back', 'dream', 'thought', 'jean', 'think', 'city', 'place', 'root', 'beer', 'turn', 'waitin', 'leaned', 'missin', 'baby', 'star', 'hope', 'hill', 'start', 'done', 'youve', 'george', 'ridin', 'youre', 'turnin', 'round', 'blue', 'love', 'somewhere', 'slow']"
